Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
24-01-2022,Bulk MRO India Pvt. Ltd.,LPJ-20SP,9.0,Bussmann,T,E
24-01-2022,Prakash Sponge Iron & Power Pvt. Ltd.,710MMT,2.0,Bussmann,T,E
24-01-2022,Prakash Sponge Iron & Power Pvt. Ltd.,630FMM,12.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M1571D,10.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M1565D,10.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,SB00-PB,1.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M1568D,10.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,SB00-PB,1.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M1569D,10.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,SB00-PB,1.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M6810D,3.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,SD3-D,3.0,Bussmann,T,E
25-01-2022,Ambuja Cement Ltd,170M6813D,3.0,Bussmann,T,E
25-01-2022,Arya Iron & Steel Co. Pvt. Ltd.,TIA20,9.0,Bussmann,T,E
25-01-2022,Arya Iron & Steel Co. Pvt. Ltd.,63NHG00B,11.0,Bussmann,T,E
25-01-2022,Arya Iron & Steel Co. Pvt. Ltd.,50NHG000B,14.0,Bussmann,T,E
25-01-2022,Arya Iron & Steel Co. Pvt. Ltd.,25NHG000B,15.0,Bussmann,T,E
25-01-2022,Arya Iron & Steel Co. Pvt. Ltd.,100NHG00B,12.0,Bussmann,T,E
25-01-2022,Bulk MRO India Pvt. Ltd.,FWH-200B,6.0,Bussmann,T,E
27-01-2022,S&S Enterprise,170M6416,3.0,Bussmann,T,E
28-01-2022,D.J. Associates,170M6712,8.0,Bussmann,T,E
28-01-2022,Electro Controls,NSD2,30.0,Bussmann,T,E
28-01-2022,Electro Controls,NSD6,70.0,Bussmann,T,E
28-01-2022,India Electric Company,10NHG000B,10.0,Bussmann,T,E
28-01-2022,Patel Traders,170M2621,6.0,Bussmann,T,E
28-01-2022,Pramukh Enterprises,170M6411,3.0,Bussmann,T,E
28-01-2022,Yash Exim Services,170M1418,10.0,Bussmann,T,E
02-01-2022,Indokem Limited,3.6ADGHC40,3.0,Bussmann,T,E
02-01-2022,Indokem Limited,3.6ADGHC60,3.0,Bussmann,T,E
02-01-2022,Indokem Limited,3.6ADGHC70,3.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M1567D,6.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M3817D,6.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M5809D,6.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M5810D,6.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M8545,6.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M6814D,3.0,Bussmann,T,E
31-01-2022,Jojen Industries,170M8550,3.0,Bussmann,T,E
01-01-2022,Chunky,1234,100.0,Bussmann,T,E
01-02-2022,Chunky,1234,100.0,Bussmann,T,E
01-03-2022,Chunky,1234,100.0,Bussmann,T,E
01-04-2022,Chunky,1234,100.0,Bussmann,T,E
01-05-2022,Chunky,1234,100.0,Bussmann,T,E
